                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    111,                  1.362,                 1.3187,                 1.5199,                0.62983,                0.50493,                0.53591,                0.32923,                  1.473,                 1.4024,                 1.6467,              0.0046045,              0.0046045,              0.0046045
                    112,                 1.3671,                 1.3214,                 1.5183,                0.64161,                0.50886,                0.53558,                 0.3287,                 1.4681,                 1.3932,                  1.643,               0.004555,               0.004555,               0.004555
                    113,                 1.3554,                  1.313,                 1.5213,                 0.6117,                0.52557,                0.53318,                0.33074,                 1.4657,                 1.3983,                 1.6395,              0.0045055,              0.0045055,              0.0045055
                    114,                  1.357,                 1.3119,                 1.5136,                0.62364,                0.51666,                0.53572,                0.32918,                 1.4698,                 1.3962,                  1.642,               0.004456,               0.004456,               0.004456
                    115,                 1.3522,                  1.306,                 1.5103,                0.61125,                 0.5218,                0.53616,                0.32929,                 1.4744,                 1.3949,                  1.647,              0.0044065,              0.0044065,              0.0044065
                    116,                 1.3497,                 1.3098,                  1.509,                0.60859,                0.52983,                0.53704,                0.33189,                  1.474,                 1.3841,                 1.6436,               0.004357,               0.004357,               0.004357
                    117,                  1.341,                 1.3042,                 1.5093,                0.61777,                0.51904,                0.53731,                0.33172,                 1.4718,                 1.3834,                 1.6426,              0.0043075,              0.0043075,              0.0043075
                    118,                 1.3451,                 1.2986,                 1.5135,                0.62886,                0.51591,                0.53894,                0.33339,                 1.4662,                 1.3733,                 1.6408,               0.004258,               0.004258,               0.004258
                    119,                 1.3472,                 1.2879,                 1.5023,                0.61452,                0.52101,                0.53903,                0.33147,                 1.4666,                 1.3818,                 1.6407,              0.0042085,              0.0042085,              0.0042085
                    120,                 1.3474,                 1.2962,                 1.5076,                0.62376,                0.51276,                0.53851,                0.33176,                  1.469,                  1.384,                 1.6436,               0.004159,               0.004159,               0.004159
                    121,                 1.3487,                 1.2931,                 1.5042,                  0.577,                0.54324,                0.53652,                 0.3313,                 1.4729,                 1.3877,                 1.6461,              0.0041095,              0.0041095,              0.0041095
                    122,                 1.3435,                 1.2816,                 1.4999,                0.57528,                0.54278,                0.53745,                 0.3309,                 1.4719,                 1.3891,                 1.6448,                0.00406,                0.00406,                0.00406
                    123,                 1.3337,                 1.2826,                 1.4978,                0.57214,                0.54539,                0.53831,                0.33083,                 1.4724,                 1.3889,                 1.6447,              0.0040105,              0.0040105,              0.0040105
                    124,                 1.3394,                 1.2752,                 1.4989,                0.59675,                0.53071,                0.53786,                0.33051,                 1.4695,                 1.3866,                 1.6412,               0.003961,               0.003961,               0.003961
                    125,                 1.3226,                 1.2673,                 1.4953,                0.60024,                0.52972,                0.53948,                0.33201,                  1.471,                  1.389,                 1.6423,              0.0039115,              0.0039115,              0.0039115
                    126,                 1.3361,                 1.2662,                  1.491,                0.59384,                0.52644,                0.53879,                0.33199,                 1.4707,                 1.3904,                  1.642,               0.003862,               0.003862,               0.003862
                    127,                 1.3215,                 1.2697,                 1.4918,                0.60744,                0.52101,                  0.538,                0.33158,                 1.4698,                 1.3927,                 1.6418,              0.0038125,              0.0038125,              0.0038125
                    128,                 1.3289,                 1.2667,                 1.4923,                0.59258,                0.53408,                0.54056,                0.33364,                 1.4673,                 1.3897,                 1.6406,               0.003763,               0.003763,               0.003763
                    129,                 1.3207,                 1.2625,                 1.4912,                0.58696,                0.55055,                0.54142,                0.33276,                 1.4708,                 1.3871,                 1.6424,              0.0037135,              0.0037135,              0.0037135
                    130,                 1.3317,                 1.2709,                 1.4934,                0.59182,                0.54595,                0.54272,                0.33321,                 1.4708,                 1.3848,                 1.6439,               0.003664,               0.003664,               0.003664
                    131,                 1.3224,                 1.2658,                 1.4835,                0.59678,                 0.5422,                0.54231,                0.33445,                 1.4703,                 1.3828,                  1.644,              0.0036145,              0.0036145,              0.0036145
                    132,                 1.3237,                 1.2482,                 1.4823,                0.59064,                0.54338,                 0.5412,                0.33322,                 1.4691,                 1.3839,                 1.6419,               0.003565,               0.003565,               0.003565
                    133,                 1.3121,                 1.2462,                 1.4829,                0.59128,                0.54606,                0.54206,                 0.3334,                 1.4668,                 1.3803,                 1.6398,              0.0035155,              0.0035155,              0.0035155
                    134,                 1.3155,                 1.2366,                 1.4796,                0.59123,                0.54163,                0.54119,                0.33331,                 1.4706,                 1.3785,                 1.6423,               0.003466,               0.003466,               0.003466
                    135,                 1.3171,                 1.2412,                 1.4839,                 0.5833,                0.55328,                0.54271,                0.33328,                 1.4721,                 1.3812,                 1.6432,              0.0034165,              0.0034165,              0.0034165
                    136,                 1.3285,                 1.2445,                 1.4866,                0.57867,                0.55726,                0.54274,                0.33292,                 1.4739,                 1.3837,                 1.6451,               0.003367,               0.003367,               0.003367
                    137,                 1.3107,                 1.2305,                   1.48,                0.57883,                0.55585,                0.54331,                0.33354,                 1.4737,                 1.3796,                 1.6472,              0.0033175,              0.0033175,              0.0033175
                    138,                 1.3079,                 1.2364,                 1.4789,                0.57448,                0.56033,                0.54334,                0.33323,                 1.4725,                 1.3807,                 1.6468,               0.003268,               0.003268,               0.003268
                    139,                 1.3022,                 1.2204,                 1.4659,                0.57724,                0.56085,                0.54362,                0.33335,                 1.4749,                 1.3799,                 1.6486,              0.0032185,              0.0032185,              0.0032185
                    140,                 1.3053,                 1.2156,                 1.4672,                0.57752,                 0.5618,                0.54518,                0.33397,                 1.4765,                 1.3811,                 1.6502,               0.003169,               0.003169,               0.003169
                    141,                 1.3027,                 1.2222,                 1.4667,                0.58239,                0.55546,                0.54494,                0.33465,                 1.4734,                 1.3798,                 1.6481,              0.0031195,              0.0031195,              0.0031195
                    142,                 1.3055,                 1.2179,                 1.4657,                0.58295,                0.55614,                0.54443,                 0.3356,                 1.4746,                 1.3809,                 1.6485,                0.00307,                0.00307,                0.00307
                    143,                 1.3043,                 1.2289,                 1.4686,                0.58747,                0.55359,                0.54512,                0.33613,                 1.4756,                 1.3814,                 1.6478,              0.0030205,              0.0030205,              0.0030205
                    144,                 1.3078,                 1.2176,                 1.4647,                 0.5917,                0.55132,                0.54483,                0.33644,                 1.4746,                 1.3794,                 1.6474,               0.002971,               0.002971,               0.002971
                    145,                 1.2999,                 1.2199,                 1.4608,                0.59415,                0.54951,                0.54533,                0.33592,                 1.4726,                 1.3798,                 1.6456,              0.0029215,              0.0029215,              0.0029215
                    146,                 1.2874,                  1.198,                 1.4594,                0.59249,                0.54757,                0.54396,                0.33621,                 1.4728,                 1.3805,                  1.646,               0.002872,               0.002872,               0.002872
                    147,                 1.2804,                  1.202,                 1.4515,                0.59551,                0.54749,                0.54379,                0.33543,                 1.4728,                 1.3817,                 1.6474,              0.0028225,              0.0028225,              0.0028225
                    148,                 1.2882,                 1.1916,                 1.4563,                0.59402,                0.54683,                 0.5437,                0.33599,                 1.4749,                 1.3824,                 1.6491,               0.002773,               0.002773,               0.002773
                    149,                 1.3007,                  1.206,                 1.4592,                0.60019,                0.54611,                0.54443,                0.33613,                  1.475,                 1.3828,                 1.6494,              0.0027235,              0.0027235,              0.0027235
                    150,                 1.2844,                 1.1873,                 1.4539,                0.60106,                0.54671,                0.54478,                0.33594,                 1.4754,                 1.3806,                 1.6506,               0.002674,               0.002674,               0.002674
                    151,                 1.2835,                  1.195,                 1.4542,                0.59774,                0.54819,                0.54371,                0.33512,                 1.4748,                 1.3833,                 1.6504,              0.0026245,              0.0026245,              0.0026245
                    152,                 1.2939,                  1.198,                 1.4592,                 0.5979,                0.54908,                0.54206,                0.33509,                 1.4746,                 1.3837,                 1.6498,               0.002575,               0.002575,               0.002575
