                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 0.8755,                 0.4717,                0.86188,                0.85653,                0.69934,                0.80732,                0.56317,                0.78225,                0.44288,                0.86123,              0.0012476,              0.0012476,              0.0012476
                     79,                0.88803,                0.47733,                0.86363,                0.85262,                0.73745,                0.82476,                0.55088,                0.78206,                0.44336,                0.85987,              0.0012377,              0.0012377,              0.0012377
                     80,                0.86756,                0.46861,                0.85803,                0.86385,                0.71318,                0.80887,                0.55706,                 0.7736,                0.43362,                0.85983,              0.0012278,              0.0012278,              0.0012278
                     81,                0.85867,                0.46483,                0.85904,                0.88517,                0.71708,                0.82098,                0.55134,                 0.7926,                 0.4452,                0.86313,              0.0012179,              0.0012179,              0.0012179
                     82,                0.89632,                0.47981,                0.86276,                0.85662,                0.71662,                0.80503,                0.55615,                0.80024,                0.46603,                0.86362,               0.001208,               0.001208,               0.001208
                     83,                0.88421,                0.46946,                0.85852,                0.85145,                0.73559,                0.82175,                0.56719,                0.76043,                 0.4297,                0.85559,              0.0011981,              0.0011981,              0.0011981
                     84,                0.88462,                0.47465,                0.86329,                0.85412,                0.72093,                0.81966,                0.56493,                 0.7696,                0.43613,                0.85784,              0.0011882,              0.0011882,              0.0011882
                     85,                0.84429,                0.46586,                0.85908,                0.86674,                0.72696,                0.82441,                 0.5495,                0.77722,                0.44233,                 0.8579,              0.0011783,              0.0011783,              0.0011783
                     86,                0.85674,                 0.4645,                0.85635,                0.84539,                0.72265,                0.81529,                0.55886,                0.76786,                0.44198,                0.85904,              0.0011684,              0.0011684,              0.0011684
                     87,                0.84899,                0.46555,                0.85844,                  0.872,                0.71001,                0.80974,                0.55899,                 0.7576,                0.44228,                 0.8536,              0.0011585,              0.0011585,              0.0011585
                     88,                0.84868,                0.46238,                 0.8552,                0.88972,                0.69251,                0.81502,                0.57302,                0.74771,                0.42229,                0.85415,              0.0011486,              0.0011486,              0.0011486
                     89,                0.84828,                0.46052,                0.85444,                0.88913,                0.70887,                0.82424,                0.56537,                0.75294,                0.42949,                0.85609,              0.0011387,              0.0011387,              0.0011387
                     90,                0.84241,                0.45569,                0.86293,                 0.8587,                0.71185,                0.81349,                0.56747,                 0.7387,                0.42911,                0.85524,              0.0011288,              0.0011288,              0.0011288
